Company Name,Industry,Website
Morgan Stanley,Finance & Fintech,https://www.morganstanley.com
Bank of New York Mellon,Finance & Fintech,https://www.bnymellon.com
BlackRock,Finance & Fintech,https://www.blackrock.com
Verizon,Telecommunications,https://www.verizon.com
AT&T,Telecommunications,https://www.att.com
WeWork,Real Estate & Coworking,https://www.wework.com
Peloton,Fitness & Wellness,https://www.onepeloton.com
Glossier,Beauty & Cosmetics,https://www.glossier.com
Oscar Health,Healthcare & Insurance,https://www.hioscar.com
Zocdoc,Healthcare Technology,https://www.zocdoc.com
Compass,Real Estate,https://www.compass.com
Ralph Lauren,Fashion & Retail,https://www.ralphlauren.com
L'Oreal USA,Beauty & Cosmetics,https://www.loreal.com
Bloomberg LP,Finance & Media,https://www.bloomberg.com
Spotify,Media & Entertainment,https://www.spotify.com
Netflix,Media & Entertainment,https://www.netflix.com
HBO (WarnerMedia),Media & Entertainment,https://www.hbo.com
VICE Media,Media & Entertainment,https://www.vice.com
Conde Nast,Media & Publishing,https://www.condenast.com
Bonobos,Retail & Fashion,https://www.bonobos.com
Blue Apron,Food & Beverage,https://www.blueapron.com
Seamless (Grubhub),Food Delivery,https://www.seamless.com
Rent The Runway,Fashion & Retail,https://www.renttherunway.com
Shake Shack,Food & Beverage,https://www.shakeshack.com
